iter	MultiClass
0	1.453610359
1	1.343826446
2	1.257243601
3	1.192807711
4	1.14085469
5	1.098256882
6	1.059236202
7	1.0270658
8	0.9974087621
9	0.9742455815
10	0.9554254596
11	0.9384751723
12	0.9222169668
13	0.906817734
14	0.8935069326
15	0.8833632271
16	0.8736972009
17	0.8626552433
18	0.8537729475
19	0.846707739
20	0.8424410688
21	0.8367301601
22	0.8323551453
23	0.8278028023
24	0.8233295618
25	0.818237228
26	0.814412921
27	0.8106757632
28	0.8077800647
29	0.8047714644
30	0.8029943058
31	0.7999053842
32	0.797123235
33	0.7953488542
34	0.793466734
35	0.7921562673
36	0.7904542267
37	0.7887156087
38	0.78780461
39	0.7859478861
40	0.7850067001
41	0.7841677677
42	0.783464744
43	0.7825938543
44	0.7811173967
45	0.7796378133
46	0.7781442308
47	0.7779971407
48	0.7771515626
49	0.776149271
50	0.7753816924
51	0.7751006244
52	0.7747933989
53	0.7735338557
54	0.7729149644
55	0.772664083
56	0.7719814864
57	0.7709841686
58	0.770214436
59	0.7695911597
60	0.7690701861
61	0.7677165877
62	0.7672037105
63	0.7669693739
64	0.7666057276
65	0.7661698483
66	0.7655892424
67	0.7652885875
68	0.7651055858
69	0.7645887967
70	0.7634309592
71	0.7630159746
72	0.7625292652
73	0.7623808744
74	0.7620939682
75	0.761589339
76	0.7606530756
77	0.7601993526
78	0.7598996393
79	0.7595540682
80	0.7590964936
81	0.7589651914
82	0.7587612706
83	0.7581051009
84	0.7580888882
85	0.7580570978
86	0.7579975619
87	0.7579509454
88	0.7571195061
89	0.7570943973
90	0.7567793828
91	0.7566522283
92	0.7564012372
93	0.7559952908
94	0.7555733137
95	0.7553703374
96	0.7543562491
97	0.754065359
98	0.7539737789
99	0.753627643
100	0.7533390771
101	0.7531684926
102	0.7530659571
103	0.7530455623
104	0.7524239374
105	0.7523224226
106	0.7519387907
107	0.7517984393
108	0.7514372449
109	0.75139289
110	0.7510512126
111	0.7507241811
112	0.7503736281
113	0.7502960662
114	0.7502717993
115	0.750223253
116	0.749926218
117	0.7499026823
118	0.7498692731
119	0.7496789167
120	0.7495620959
121	0.7492607355
122	0.7490988472
123	0.7481999561
124	0.7479126009
125	0.7476244874
126	0.7474703859
127	0.7473562236
128	0.7471020382
129	0.7469164345
130	0.7466425867
131	0.7465717742
132	0.7465504445
133	0.7465264141
134	0.7464748411
135	0.7464427784
136	0.746280128
137	0.7460759407
138	0.7460196425
139	0.7459740533
140	0.7457191782
141	0.7456381082
142	0.7455952353
143	0.7453234004
144	0.7453025706
145	0.7449302833
146	0.7445982777
147	0.7444491271
148	0.7444181286
149	0.7443949717
150	0.7443697148
151	0.7440685805
152	0.7440451405
153	0.743936056
154	0.7437903871
155	0.7437676785
156	0.7434490343
157	0.7431759838
158	0.7430169819
159	0.7429078583
160	0.7427930749
161	0.7427097805
162	0.7423546678
163	0.7422700409
164	0.7419167451
165	0.741765342
166	0.7416640837
167	0.7415642522
168	0.7415246329
169	0.7414166619
170	0.7413853988
171	0.7413014171
172	0.7412692114
173	0.7412162207
174	0.741178196
175	0.7411547211
176	0.7411149473
177	0.7408559348
178	0.7407756016
179	0.7407446282
180	0.7406395604
181	0.7406152052
