iter	Passed	Remaining
0	98	98320
1	202	100987
2	305	101634
3	406	101245
4	509	101351
5	608	100822
6	714	101350
7	817	101313
8	917	101013
9	1019	100933
10	1121	100817
11	1224	100857
12	1328	100861
13	1429	100680
14	1536	100884
15	1640	100888
16	1707	98710
17	1808	98659
18	1910	98654
19	2012	98613
20	2113	98545
21	2213	98383
22	2314	98311
23	2416	98269
24	2516	98156
25	2620	98160
26	2720	98032
27	2821	97955
28	2921	97825
29	3022	97741
30	3127	97763
31	3230	97717
32	3332	97659
33	3434	97568
34	3536	97502
35	3641	97518
36	3741	97382
37	3840	97232
38	3939	97063
39	4040	96969
40	4143	96907
41	4242	96774
42	4342	96648
43	4443	96546
44	4545	96456
45	4652	96485
46	4756	96440
47	4856	96313
48	4956	96199
49	5055	96049
50	5157	95977
51	5258	95871
52	5357	95731
53	5458	95618
54	5557	95479
55	5667	95540
56	5769	95443
57	5870	95350
58	5971	95245
59	6071	95127
60	6173	95024
61	6273	94918
62	6373	94793
63	6473	94678
64	6577	94609
65	6678	94516
66	6778	94394
67	6878	94277
68	6977	94149
69	7076	94020
70	7179	93942
71	7280	93840
72	7380	93716
73	7480	93601
74	7580	93489
75	7682	93402
76	7785	93323
77	7886	93217
78	7985	93095
79	8086	92993
80	8187	92892
81	8286	92765
82	8390	92698
83	8488	92562
84	8589	92467
85	8689	92356
86	8789	92234
87	8888	92121
88	8988	92003
89	9090	91915
90	9191	91818
91	9289	91682
92	9390	91581
93	9492	91493
94	9594	91403
95	9696	91309
96	9796	91194
97	9896	91086
98	9998	90996
99	10099	90898
100	10199	90781
101	10298	90666
102	10397	90553
103	10499	90456
104	10600	90360
105	10699	90241
106	10800	90140
107	10899	90024
108	10999	89913
109	11101	89818
110	11201	89710
111	11301	89604
112	11401	89498
113	11502	89394
114	11608	89332
115	11707	89221
116	11806	89104
117	11905	88990
118	12005	88878
119	12109	88802
120	12208	88686
121	12306	88563
122	12406	88459
123	12506	88348
124	12609	88265
125	12707	88143
126	12808	88047
127	12908	87937
128	13006	87821
129	13108	87726
130	13209	87624
131	13308	87512
132	13407	87403
133	13506	87290
134	13609	87204
135	13811	87740
136	13912	87636
137	14013	87532
138	14116	87437
139	14215	87324
140	14314	87205
141	14412	87084
142	14512	86972
143	14615	86881
144	14715	86772
145	14816	86664
146	14917	86562
147	15016	86447
148	15120	86361
149	15222	86259
150	15322	86149
151	15423	86047
152	15523	85935
153	15624	85830
154	15724	85725
155	15826	85627
156	15924	85506
157	16023	85391
158	16127	85301
159	16226	85188
160	16325	85073
161	16425	84966
162	16535	84907
163	16635	84801
164	16736	84695
165	16835	84583
166	16935	84474
167	17033	84356
168	17134	84253
169	17235	84147
170	17333	84033
171	17432	83917
172	17532	83812
173	17633	83707
174	17732	83597
175	17832	83489
176	17935	83393
177	18036	83293
178	18135	83180
179	18236	83075
180	18336	82968
181	18437	82865
182	18538	82762
183	18639	82661
184	18738	82550
185	18837	82440
186	18937	82332
187	19040	82237
188	19140	82133
189	19240	82023
190	19339	81914
191	19439	81806
192	19543	81718
193	19642	81606
194	19741	81498
195	19842	81396
196	19943	81292
197	20048	81208
198	20147	81097
199	20248	80992
200	20347	80883
201	20448	80783
202	20552	80690
203	20652	80585
204	20754	80486
205	20853	80378
206	20952	80266
207	21053	80165
208	21152	80054
209	21253	79951
210	21351	79840
211	21455	79747
212	21557	79651
213	21656	79543
214	21757	79439
215	21857	79333
216	21956	79224
217	22061	79136
218	22159	79026
219	22259	78920
220	22357	78808
221	22456	78700
222	22557	78597
223	22657	78491
224	22758	78390
225	22857	78281
226	22955	78170
227	23057	78070
228	23159	77972
229	23259	77869
230	23357	77758
231	23457	77651
232	23560	77557
233	23663	77462
234	23764	77361
235	23864	77256
236	23964	77152
237	24067	77057
238	24168	76955
239	24270	76856
240	24370	76752
241	24467	76637
242	24568	76537
243	24667	76430
244	24769	76329
245	24870	76228
246	24969	76121
247	25071	76024
248	25172	75922
249	25274	75824
250	25374	75719
251	25475	75618
252	25587	75548
253	25689	75449
254	25791	75350
255	25891	75247
256	25992	75145
257	26094	75047
258	26193	74939
259	26295	74840
260	26397	74742
261	26504	74658
262	26604	74554
263	26703	74446
264	26802	74339
265	26902	74234
266	27002	74131
267	27103	74029
268	27202	73923
269	27302	73817
270	27403	73717
271	27505	73618
272	27608	73522
273	27709	73419
274	27809	73315
275	27909	73211
276	28011	73113
277	28111	73007
278	28209	72900
279	28308	72794
280	28410	72693
281	28511	72592
282	28609	72484
283	28709	72380
284	28808	72273
285	28907	72167
286	29008	72065
287	29107	71961
288	29207	71856
289	29305	71747
290	29405	71643
291	29508	71548
292	29610	71449
293	29711	71348
294	29811	71244
295	29911	71139
296	30015	71047
297	30114	70939
298	30215	70839
299	30315	70735
300	30414	70631
301	30518	70537
302	30617	70430
